কাজ ফুরোলেই পাজি 
ক্যাটরিনা কাইফ ক্যাটরিনার ব্যবহারে যারপরনাই আঘাত পেয়েছিলেন আব্বাস-মস্তান। 'দি ইটালিয়ান জব'এর রিমেক বানাচ্ছিলেন তাঁরা (ছবির নাম 'প্লেয়ার্স'।) ক্যাটরিনাকে সই
করানো হয়েছিল একদম প্রথম দিকেই। কিন্তু নায়িকা তারপর হঠাৎ ছেড়ে দেন কাজটা। কেন ছাড়ছেন, সে ব্যাপারেও নাকি কিছু বলেননি আব্বাস-মস্তানকে।
তাঁরা জানিয়েছিলেন, ফোন করলেও ক্যাটরিনাকে পাওয়া যেত না। আব্বাস এক সাক্ষাৎকারে বলেছিলেন, গুজব শুনতাম, ক্যাটরিনা নাকি আমাদের ছবিতে কাজ করতে
চাইছে না। আমরা কিন্তু বরাবর সব উড়িয়ে দিতাম। শেষে তাঁরা অন্য সূত্র থেকে জানতে পারেন, ইমরান খানের সঙ্গে 'যশ রাজ
ফিল্মস'এর ছবি করবেন বলেই আব্বাস-মস্তানের ছবি ছেড়ে দিয়েছেন ক্যাটরিনা। আব্বাস পরে বলেছিলেন, শাহরুখ খান থেকে অক্ষয় কুমার, অনেক সুপারস্টারের সঙ্গে
কাজ করেছি। কিন্তু এই প্রথম কেউ আমাদের সঙ্গে এত অপেশাদার আচরণ করল। পরে ক্যাটরিনার জায়গায় সোনম কপূরকে নেন তাঁরা। সলমন
খান সলমন যে কিঞ্চিৎ অপেশাদার, সে কথা তিনি নিজেই বলেন! 'বজরঙ্গি ভাইজান'এর প্রচারের সময় স্ক্রিপ্ট, পরিচালক, সহ অভিনেতা - কাউকে
অপেশাদার বলেননি তিনি। বলেছিলেন নিজেকে! তাঁর কথায়, ছবির কলাকুশলীর মধ্যে একজনই ছিল একটু অপেশাদার। সেট'এ দেরি করে আসত। সে হল
প্রযোজক সলমন খান। 'যুবরাজ' মুক্তি পাওয়ার আগেও বলেছিলেন, সুভাষ ঘাইয়ের সঙ্গে কাজ করার আগে একটু নার্ভাস ছিলাম। আসলে, কাজটা ভালই
করি বটে। কিন্তু পেশাদারিত্বের একটু অভাব রয়েছে আমার মধ্যে! আরেকজনও সলমনের মধ্যে পেশাদারিত্বের অভাব দেখেছিলেন। তিনি আমির খান। 'আন্দাজ অপনা
অপনা' করার সময়ই নাকি তাঁর সলমনকে 'উদ্ধত এবং অপেশাদার' মনে হয়েছিল। সেই ছবিতে কাজ করার অভিজ্ঞতাও তাঁর একেবারেই ভাল ছিল
না তাই। পরে অবশ্য দু'জনের ভালই বন্ধুত্ব হয়। বিভিন্ন ছবিতে সলমনের অভিনয়ের প্রশংসাও করেছেন আমির। দীপিকা পাড়ুকোন সচরাচর দীপিকাকে অপেশাদার
বলেন না কেউই। বরং চরিত্রের জন্য মনপ্রাণ দিয়ে খাটেন তিনি, এমনটাই শোনা যায়। কিন্তু একবার এক কসমেটিক ব্র্যান্ডকে বেজায় বিপদে
ফেলেছিলেন দীপিকা। সেই ব্র্যান্ডের জন্য শ্যুট করার কথা ছিল নায়িকার। কিন্তু সব ফেলে তিনি পাড়ি দিয়েছিলেন তুরস্কে, 'বিশেষ বন্ধু' রণবীর
সিংহের কাছে। সেদিনই আবার রণবীরের জন্মদিন ছিল কি না! এতে সেই ব্র্যান্ডের ক্ষুধ্ব হওয়ার যথেষ্ট কারণ ছিল। এমনিতেই রীতিমতো কষ্ট
